US COVID-19 data archive since Jan 22, 2020
THE COVID Tracking Project
Source: https://covidtracking.com/data/national
Data include:
(1) YearDay from Jan 1, 2020
(2) Date: four digit year, two digit month, two digit day
(3) TotalTests: daily number of tests
(4) PositiveResults: daily number of positive cases
(5) Death: daily number of death
YearDay	           Date	     TotalTests	 PostiveResults	          Death
    347	       20201212	        1906655	         223365	           2477
    346	       20201211	        2097606	         234810	           2749
    345	       20201210	        1957527	         218510	           3115
    344	       20201209	        1824503	         213456	           3170
    343	       20201208	        1633984	         220887	           2697
    342	       20201207	        1773511	         180819	           1297
    341	       20201206	        1662535	         179619	           1145
    340	       20201205	        2234237	         215393	           2480
    339	       20201204	        1883576	         227975	           2573
    338	       20201203	        1865194	         213364	           2825
    337	       20201202	        1499486	         198665	           2804
    336	       20201201	        1447009	         179217	           2506
    335	       20201130	        1620348	         148475	           1035
    334	       20201129	        1299116	         136090	            823
    333	       20201128	        1739851	         154915	           1251
    332	       20201127	        2132028	         194244	           1392
    331	       20201126	        1220363	         128439	           1387
    330	       20201125	        1776053	         186938	           2280
    329	       20201124	        1853161	         169264	           2106
    328	       20201123	        1771671	         151893	            858
    327	       20201122	        1760811	         151896	            917
    326	       20201121	        2048255	         181859	           1554
    325	       20201120	        1959190	         194810	           1894
    324	       20201119	        1866820	         184672	           2020
    323	       20201118	        1584939	         166167	           1882
    322	       20201117	        1549638	         158799	           1562
    321	       20201116	        1498918	         149528	            609
    320	       20201115	        1633946	         145830	            708
    319	       20201114	        1691373	         165821	           1352
    318	       20201113	        1733088	         174459	           1304
    317	       20201112	        1499987	         154175	           1111
    316	       20201111	        1459232	         146898	           1579
    315	       20201110	        1281395	         132974	           1357
    314	       20201109	        1524777	         117498	            580
    313	       20201108	        1268119	         111499	            501
    312	       20201107	        1439750	         130816	           1132
    311	       20201106	        1594979	         127492	           1186
    310	       20201105	        1598044	         118056	           1155
    309	       20201104	        1257292	         103553	           1126
    308	       20201103	        1162294	          89864	           1525
    307	       20201102	        1337848	          83095	            474
    306	       20201101	        1203030	         141347	            398
    305	       20201031	        1422244	          90613	            970
    304	       20201030	        1388573	          97263	            947
    303	       20201029	        1354648	          88728	           1055
    302	       20201028	        1128640	          78793	           1045
    301	       20201027	        1097470	          72097	            929
    300	       20201026	        1215005	          62535	            399
    299	       20201025	        1197113	          64897	            387
    298	       20201024	        1341535	          83319	            897
    297	       20201023	        1404686	          82342	            941
    296	       20201022	        1255490	          73003	           1126
    295	       20201021	         965947	          60980	           1025
    294	       20201020	         978137	          60569	            830
    293	       20201019	        1142014	          57108	            451
    292	       20201018	        1058711	          48280	            402
    291	       20201017	        1313446	          57355	            777
    290	       20201016	        1252025	          68265	            894
    289	       20201015	        1131020	          63384	            928
    288	       20201014	        1060260	          56237	            798
    287	       20201013	        1074607	          48417	            724
    286	       20201012	        1062196	          42645	            285
    285	       20201011	        1082128	          46268	            469
    284	       20201010	        1265260	          57424	            690
    283	       20201009	        1219105	          56790	            905
    282	       20201008	        1173237	          55204	            988
    281	       20201007	         999154	          50588	            922
    280	       20201006	         932914	          38917	            622
    279	       20201005	         995060	          37756	            330
    278	       20201004	        1033879	          37982	            373
    277	       20201003	        1113384	          50937	            743
    276	       20201002	        1261155	          49253	            844
    275	       20201001	        1021405	          45600	            859
    274	       20200930	         932299	          44346	           1060
    273	       20200929	         940421	          36963	            732
    272	       20200928	        1162943	          35362	            245
    271	       20200927	         906676	          34983	            307
    270	       20200926	        1133407	          47407	            874
    269	       20200925	        1124064	          55186	            849
    268	       20200924	        1053996	          43343	            933
    267	       20200923	        1030983	          38619	           1159
    266	       20200922	         874914	          49475	            859
    265	       20200921	         775017	          39137	            283
    264	       20200920	         977084	          35504	            324
    263	       20200919	        1184703	          44906	            751
    262	       20200918	        1106624	          47250	            901
    261	       20200917	         971030	          43291	            878
    260	       20200916	         835616	          40108	           1184
    259	       20200915	         826702	          34945	           1040
    258	       20200914	         498961	          33577	            405
    257	       20200913	         776011	          34314	            390
    256	       20200912	        1007047	          41865	            821
    255	       20200911	         934382	          44684	           1014
    254	       20200910	         800627	          37304	           1156
    253	       20200909	         721089	          31171	           1092
    252	       20200908	         580749	          22135	            350
    251	       20200907	         666758	          28142	            227
    250	       20200906	         829418	          32920	            448
    249	       20200905	         968778	          44743	            926
    248	       20200904	        1050818	          51511	           1002
    247	       20200903	         892673	          44621	           1071
    246	       20200902	         774234	          30216	           1032
    245	       20200901	         837045	          42419	           1019
    244	       20200831	         737091	          31270	            377
    243	       20200830	         828256	          39285	            474
    242	       20200829	         900041	          43962	           1015
    241	       20200828	         915839	          46121	           1024
    240	       20200827	         878172	          43915	           1128
    239	       20200826	         753763	          43626	           1297
    238	       20200825	         725665	          36587	           1145
    237	       20200824	         724608	          34249	            344
    236	       20200823	         711985	          37324	            574
    235	       20200822	         888920	          45722	           1036
    234	       20200821	         879557	          46195	           1117
    233	       20200820	         826037	          43723	           1122
    232	       20200819	         800112	          44882	           1413
    231	       20200818	         737200	          40491	           1188
    230	       20200817	         736432	          37951	            409
    229	       20200816	         849816	          41782	            618
    228	       20200815	         877262	          55810	           1226
    227	       20200814	         977131	          57093	           1220
    226	       20200813	        1020178	          51621	           1164
    225	       20200812	         560099	          55894	           1513
    224	       20200811	         805675	          55428	           1330
    223	       20200810	         794618	          41743	            430
    222	       20200809	         774970	          50153	            615
    221	       20200808	         746085	          53083	           1084
    220	       20200807	         899958	          60836	           1331
    219	       20200806	         845011	          53803	           1237
    218	       20200805	         792567	          52464	           1355
    217	       20200804	         788525	          51815	           1244
    216	       20200803	         794492	          43122	            517
    215	       20200802	         762718	          52737	            494
