"Plot10"
"Time (sec)","Acceleration3 (mm/sec**2)"
0,-255220.472409679
0.0004,-219182.520491638
0.0008,-174886.386826096
0.0012,-122693.346644799
0.0016,-63284.4348763727
0.002,-9215.58637915514
0.0024,416.795230798675
0.0028,151.647880121491
0.0032,-85.1641791047098
0.0036,39.863956188134
0.004,-142.69570665371
0.0044,989.578136819425
0.0048,-4745.40794533763
0.0052,-6097.40832140199
0.0056,-245845.739676077
0.006,-226025.880343241
0.0064,-227198.456387907
0.0068,-223892.125012371
0.0072,-220436.205645388
0.0076,-216074.26322374
0.008,-210889.39438166
0.0084,-204937.843280154
0.0088,-198078.872224727
0.0092,-190560.49078036
0.0096,-182359.534608423
0.01,-173549.733508993
0.0104,-164149.475159615
0.0108,-154232.57620329
0.0112,-143754.449157764
0.0116,-132770.157500807
0.012,-121375.026366588
0.0124,-109531.06158473
0.0128,-97412.0867845092
0.0132,-85031.1813540637
0.0136,-72456.2522974072
0.014,-59736.2597744862
0.0144,-46903.0301145799
0.0148,-34005.6445152707
0.0152,-21055.7697293671
0.0156,-8048.06792406297
0.016,4909.79168761002
0.0164,17767.0586350962
0.0168,30494.5486459389
0.0172,43125.728887648
0.0176,55552.9224201727
0.018,68053.909299212
0.0184,80371.6207071129
0.0188,92778.9860455844
0.0192,105105.264627025
0.0196,117493.076725055
0.02,129992.324385053
0.0204,142920.669015414
0.0208,156442.136129376
0.0212,170483.296906289
0.0216,185151.198524775
0.022,200962.716892708
0.0224,218129.239904396
0.0228,236236.125192638
0.0232,255642.070590609
0.0236,275702.082956843
0.024,295316.035621559
0.0244,312434.131986218
0.0248,325934.907359313
0.0252,340985.374311312
0.0256,-13884.7835677112
0.026,2497.74862717005
0.0264,-130.353080591711
0.0268,-100.941304832068
0.0272,11.6244629710298
0.0276,-30.4057986750304
0.028,313.821465515961
0.0284,-2059.46425308826
0.0288,12222.1876832752
0.0292,52468.783533711
0.0296,87986.3425953871
0.03,121581.505903066
0.0304,150616.120447481
0.0308,172948.356992882
0.0312,188670.654460744
0.0316,196047.089126036
0.032,196763.138110993
0.0324,191558.99176544
0.0328,181558.278657589
0.0332,168648.056909701
0.0336,153641.854890004
0.034,137437.466726215
0.0344,120557.157801241
0.0348,103340.583347996
0.0352,86001.8510174795
0.0356,68656.1158778656
0.036,51336.7580035267
0.0364,34181.1768386542
0.0368,17098.1640902851
0.0372,411.059495305312
0.0376,-16007.0131524253
0.038,-32094.4521657339
0.0384,-47689.7332973455
0.0388,-62805.2571426177
0.0392,-77274.453630521
0.0396,-90894.3335773049
0.04,-103610.846080051
0.0404,-115295.584149324
0.0408,-125729.749017187
0.0412,-134818.300314866
0.0416,-142425.939837909
0.042,-148437.288038464
0.0424,-152670.892998596
0.0428,-154982.470641614
0.0432,-155200.776645686
0.0436,-153082.467613564
0.044,-148386.025475555
0.0444,-140941.275410998
0.0448,-130436.747318655
0.0451999999999999,-116491.104550562
0.0455999999999999,-98833.3314525594
0.0459999999999999,-76956.1011461563
0.0463999999999999,-51012.0057239285
0.0467999999999999,-16203.6476846269
0.0471999999999999,2482.56805941405
0.0475999999999999,-515.772136464823
0.0479999999999999,570.80616286719
0.0483999999999999,-3197.30243172975
0.0487999999999999,22162.7258474521
0.0491999999999999,95704.7205002974
0.0495999999999999,169914.016612086
0.0499999999999999,245568.890122016
0.0503999999999999,314684.735312369
0.0507999999999999,366753.643777223
0.0511999999999999,399590.204865895
0.0515999999999999,404024.540851955
0.0519999999999999,386089.407916188
0.0523999999999999,349710.104005282
0.0527999999999999,300257.623888857
0.0531999999999999,244027.863766595
0.0535999999999999,183998.112472153
0.0539999999999999,122902.81871592
0.0543999999999999,62167.3835223223
0.0547999999999999,2889.24281464684
0.0551999999999999,-53909.3080694454
0.0555999999999999,-107209.074657904
0.0559999999999999,-156216.08462035
0.0563999999999999,-199665.387713598
0.0567999999999999,-237221.661969612
0.0571999999999999,-267695.800592048
0.0575999999999999,-290740.059211383
0.0579999999999999,-305891.697370711
0.0583999999999999,-312941.748390385
0.0587999999999999,-311456.927892368
0.0591999999999999,-301383.325696318
0.0595999999999999,-282566.787170797
0.06,-255220.466345861
