"Plot9"
"Time (sec)","Velocity3 (mm/sec)"
0,284.139333059535
0.0004,189.018504745687
0.0008,110.001352025044
0.0012,50.3510337182023
0.0016,12.6696345809032
0.002,-0.0354376808935405
0.0024,0.147055189586632
0.0028,-0.0367843538134342
0.0032,0.00518117376808802
0.0036,-0.00526717625475888
0.004,0.00693695824437486
0.0044,0.028371874333954
0.0048,-0.413494654035496
0.0052,2.3428355134567
0.0056,-61.4767911700341
0.006,-153.737159146484
0.0064,-244.869735952897
0.0068,-335.017692206107
0.0072,-423.952815937632
0.0076,-511.270792443059
0.008,-596.672950248605
0.0084,-679.827711303473
0.0088,-760.432752191377
0.0092,-838.187122357972
0.0096,-912.81201229668
0.01,-984.039610721068
0.0104,-1051.61973202667
0.0108,-1115.31882476924
0.0112,-1174.91888006178
0.0116,-1230.22256416677
0.012,-1281.04698222247
0.0124,-1327.23196584304
0.0128,-1368.63923497574
0.0132,-1405.15201842751
0.0136,-1436.67359608269
0.014,-1463.128246173
0.0144,-1484.45917684314
0.0148,-1500.62897023501
0.0152,-1511.61715265184
0.0156,-1517.4179189951
0.016,-1518.04270696237
0.0164,-1513.51564276408
0.0168,-1503.87158587609
0.0172,-1489.1530829151
0.0176,-1469.40355727507
0.018,-1444.66367303812
0.0184,-1414.96927705992
0.0188,-1380.34034062121
0.0192,-1340.78033287199
0.0196,-1296.2761942274
0.02,-1246.76798282412
0.0204,-1192.16266955166
0.0208,-1132.29751579615
0.0212,-1066.9543638176
0.0216,-995.856458480171
0.022,-918.643592896399
0.0224,-834.863310480755
0.0228,-744.035891187023
0.0232,-645.68604774082
0.0236,-539.428009085808
0.024,-425.190815695336
0.0244,-303.439257431131
0.0248,-175.124540959376
0.0252,-41.0829829019796
0.0256,0.261921106045691
0.026,0.124768830973494
0.0264,-0.0574034449936505
0.0268,0.0139988713898373
0.0272,-0.00401791332975918
0.0276,0.00589221721668379
0.028,-0.0123055434511008
0.0284,-0.048125797785081
0.0288,1.20510146642827
0.0292,13.8667891264099
0.0296,41.9378086852863
0.03,84.0207837896638
0.0304,138.625348522763
0.0308,203.551453238447
0.0312,276.105368810443
0.0316,353.290845772093
0.032,432.097746830836
0.0324,509.934553132796
0.0328,584.673433644699
0.0332,654.806722555331
0.0336,719.314377427059
0.034,777.556270648546
0.0344,829.164468318971
0.0348,873.943335497643
0.0352,911.804743292288
0.0356,942.724253987858
0.036,966.713602621051
0.0364,983.810500049494
0.0368,994.075830887191
0.0372,997.588810987719
0.0376,994.455288730146
0.038,984.81251049503
0.0384,968.821230082621
0.0388,946.682725268048
0.0392,918.643937561218
0.0396,884.993134211942
0.04,846.067840225429
0.0404,802.265592674867
0.0408,754.033709687351
0.0412,701.87641143918
0.0416,646.35657728217
0.042,588.095870771722
0.0424,527.778377305849
0.0428,466.152818873031
0.0432,404.035184631461
0.0436,342.314048863704
0.044,281.959203399446
0.0444,224.026141160669
0.0448,169.671080853511
0.0451999999999999,120.166515923406
0.0455999999999999,76.930900069934
0.0459999999999999,41.5432364998454
0.0463999999999999,15.7964541915342
0.0467999999999999,2.0373487220279
0.0471999999999999,-0.169827005604039
0.0475999999999999,0.0190432065084928
0.0479999999999999,-0.0170232465810022
0.0483999999999999,-0.0704059298649006
0.0487999999999999,2.09315593326415
0.0491999999999999,24.9183023631629
0.0495999999999999,77.9346874833928
0.0499999999999999,161.186646183051
0.0503999999999999,273.471896147522
0.0507999999999999,410.380970958013
0.0511999999999999,564.459566446914
0.0515999999999999,726.010332170232
0.0519999999999999,884.791239332107
0.0523999999999999,1032.42351872978
0.0527999999999999,1162.67685959675
0.0531999999999999,1271.71746406157
0.0535999999999999,1357.42307632717
0.0539999999999999,1418.83416536108
0.0543999999999999,1455.79254483547
0.0547999999999999,1468.68552787392
0.0551999999999999,1458.33628727924
0.0555999999999999,1425.96738215883
0.0559999999999999,1373.16939383985
0.0563999999999999,1301.88410136596
0.0567999999999999,1214.39663433446
0.0571999999999999,1113.280671657
0.0575999999999999,1001.3697711225
0.0579999999999999,881.715079252864
0.0583999999999999,757.553595228326
0.0587999999999999,632.242012017704
0.0591999999999999,509.235585303365
0.0595999999999999,392.034735615589
0.06,284.139328036155
